Component Name,Version,License,Link to Component's License,Ecosystem,Comments
aiohappyeyeballs,2.6.1,PSF-2.0,https://github.com/aio-libs/aiohappyeyeballs/blob/main/LICENSE,python,
arize-phoenix-otel,0.13.1,Elastic 2.0,https://github.com/Arize-ai/phoenix/blob/main/LICENSE,python,
certifi,2025.11.12,MPL-2.0,https://github.com/certifi/python-certifi/blob/master/LICENSE,python,
cloudpickle,3.1.2,PiCloud License,https://github.com/cloudpipe/cloudpickle/blob/master/LICENSE,python,
ffmpeg,5.1.6,LGPL-2.1,https://git.ffmpeg.org/gitweb/ffmpeg.git/blob/HEAD:/LICENSE.md,python,
jsonpointer,3.0.0,Copyright (c) 2011 Stefan Kögl,https://github.com/stefankoegl/python-json-pointer/blob/master/LICENSE.txt,python,
matplotlib,3.10.7,License agreement for matplotlib versions 1.3.0 and later,https://github.com/matplotlib/matplotlib/blob/main/LICENSE/LICENSE,python,"Should be BSD License from https://pypi.org/project/jsonpointer/
But the license text is not obvious to me"
mdurl,0.1.2,Copyright (c) 2021 Taneli Hukkinen,https://github.com/executablebooks/mdurl/blob/master/LICENSE,python,"Should be MIT License from https://pypi.org/project/mdurl/
But the license text is not obvious to me"
numpy,2.4.0rc1,Copyright (c) 2005-2025 Numpy Developpers,https://github.com/numpy/numpy/blob/main/LICENSE.txt,python,"Should be BSD License from https://pypi.org/project/numpy/
But the license text is not obvious to me"
protobuf,6.33.2,Copyright 2008 Google Inc.  All rights reserved,https://github.com/protocolbuffers/protobuf/blob/main/LICENSE,python,"Should be BSD License from https://pypi.org/project/protobuf/
But the license text is not obvious to me"
pycairo,1.29.0,LGPL-2.1-only OR MPL-1.1,https://github.com/pygobject/pycairo/tree/main?tab=LGPL-2.1-2-ov-file,python,
pypdf,6.4.1,"Copyright (c) 2006-2008,Mathieu Fenniak",https://github.com/py-pdf/pypdf/blob/main/LICENSE,python,"Should be BSD License from https://pypi.org/project/pypdf/
But the license text is not obvious to me"
python-bidi,0.6.7,GNU Library or Lesser General Public License (LGPL),https://github.com/MeirKriheli/python-bidi/blob/master/COPYING.LESSER,python,
svglib,1.6.0,LGPL-3.0-or-later,https://github.com/deeplook/svglib/blob/main/LICENSE.txt,python,
toolz,1.1.0,Copyright (c) 2013 Matthew Rocklin,https://github.com/pytoolz/toolz/blob/master/LICENSE.txt,python,"Should be BSD License from https://pypi.org/project/toolz/
But the license text is not obvious to me"
typing-extensions,4.15.0,PSF-2.0,https://github.com/python/typing_extensions/blob/main/LICENSE,python,
