Component Name,Version,License,Link to Component's License,Ecosystem,Comments
@acemir/cssom,0.9.31,MIT,acemir/CSSOM,npm,Auto-imported from npm dep tree on initial CI seed.
@ariakit/core,0.4.20,MIT,https://github.com/ariakit/ariakit.git,npm,Auto-imported from npm dep tree on initial CI seed.
@ariakit/react,0.4.26,MIT,https://github.com/ariakit/ariakit.git,npm,Auto-imported from npm dep tree on initial CI seed.
@ariakit/react-core,0.4.26,MIT,https://github.com/ariakit/ariakit.git,npm,Auto-imported from npm dep tree on initial CI seed.
@asamuzakjp/css-color,3.2.0,MIT,git+https://github.com/asamuzaK/cssColor.git,npm,Auto-imported from npm dep tree on initial CI seed.
@asamuzakjp/css-color,4.1.2,MIT,git+https://github.com/asamuzaK/cssColor.git,npm,Auto-imported from npm dep tree on initial CI seed.
@asamuzakjp/css-color,5.1.11,MIT,git+https://github.com/asamuzaK/cssColor.git,npm,Auto-imported from npm dep tree on initial CI seed.
@asamuzakjp/dom-selector,6.8.1,MIT,git+https://github.com/asamuzaK/domSelector.git,npm,Auto-imported from npm dep tree on initial CI seed.
@asamuzakjp/generational-cache,1.0.1,MIT,git+https://github.com/asamuzaK/generationalCache.git,npm,Auto-imported from npm dep tree on initial CI seed.
@babel/runtime,7.29.2,MIT,https://github.com/babel/babel.git,npm,Auto-imported from npm dep tree on initial CI seed.
@bramus/specificity,2.4.2,MIT,git+https://github.com/bramus/specificity.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/color-helpers,5.1.0,MIT-0,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-calc,2.1.4,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-calc,3.2.0,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-color-parser,3.1.0,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-color-parser,4.1.0,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-parser-algorithms,3.0.5,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-parser-algorithms,4.0.0,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-syntax-patches-for-csstree,1.1.3,MIT-0,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-tokenizer,3.0.4,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@csstools/css-tokenizer,4.0.0,MIT,git+https://github.com/csstools/postcss-plugins.git,npm,Auto-imported from npm dep tree on initial CI seed.
@datadog/browser-core,5.35.1,Apache-2.0,https://github.com/DataDog/browser-sdk.git,npm,Auto-imported from npm dep tree on initial CI seed.
@datadog/browser-rum,5.35.1,Apache-2.0,https://github.com/DataDog/browser-sdk.git,npm,Auto-imported from npm dep tree on initial CI seed.
@datadog/browser-rum-core,5.35.1,Apache-2.0,https://github.com/DataDog/browser-sdk.git,npm,Auto-imported from npm dep tree on initial CI seed.
