package,version,license,module,vendored,downloaded_at_build,distribution_method,usage_method,comments,license_link,download_location,provenance,repo_modules,decision,evidence
aioboto3,15.5.0,Apache-2.0,AGENT,,https://pypi.org/project/aioboto3/15.5.0/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/terricain/aioboto3,https://pypi.org/project/aioboto3/15.5.0/,submission,services/agent,approved,consolidated-sheet
aiobotocore,2.25.1,Apache-2.0,AGENT,,https://pypi.org/project/aiobotocore/2.25.1/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/aio-libs/aiobotocore,https://pypi.org/project/aiobotocore/2.25.1/,submission,services/agent,approved,consolidated-sheet
aiofiles,25.1.0,Apache-2.0,AGENT,,https://pypi.org/project/aiofiles/25.1.0/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/Tinche/aiofiles,https://pypi.org/project/aiofiles/25.1.0/,submission,services/agent,approved,consolidated-sheet
aiohappyeyeballs,2.7.1,PSF-2.0,AGENT,,https://pypi.org/project/aiohappyeyeballs/2.7.1/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/aio-libs/aiohappyeyeballs/blob/main/LICENSE,https://pypi.org/project/aiohappyeyeballs/2.7.1/,submission,services/agent,approved,consolidated-sheet
aiohttp,3.14.3,Apache-2.0 AND MIT,AGENT,,https://pypi.org/project/aiohttp/3.14.3/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/aio-libs/aiohttp,https://pypi.org/project/aiohttp/3.14.3/,submission,services/agent,approved,consolidated-sheet
aioitertools,0.13.0,MIT,AGENT,,https://pypi.org/project/aioitertools/0.13.0/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/omnilib/aioitertools/blob/main/LICENSE,https://pypi.org/project/aioitertools/0.13.0/,submission,services/agent,approved,consolidated-sheet
aiorwlock,1.5.1,Apache-2.0,AGENT,,https://pypi.org/project/aiorwlock/1.5.1/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/aio-libs/aiorwlock,https://pypi.org/project/aiorwlock/1.5.1/,submission,services/agent,approved,consolidated-sheet
aiosignal,1.4.0,Apache-2.0,AGENT,,https://pypi.org/project/aiosignal/1.4.0/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/aio-libs/aiosignal,https://pypi.org/project/aiosignal/1.4.0/,submission,services/agent,approved,consolidated-sheet
aiosqlite,0.22.1,MIT,AGENT,,https://pypi.org/project/aiosqlite/0.22.1/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/omnilib/aiosqlite/blob/main/LICENSE,https://pypi.org/project/aiosqlite/0.22.1/,submission,services/agent,approved,consolidated-sheet
annotated-doc,0.0.4,MIT,AGENT,,https://pypi.org/project/annotated-doc/0.0.4/,Container - Added to Base Container listed in Row 2,Pre-installed inside the container,,https://github.com/fastapi/annotated-doc,https://pypi.org/project/annotated-doc/0.0.4/,submission,services/agent,approved,consolidated-sheet
